Target,MOC total,SiO2,TiO2,Al2O3,FeOT,MgO,CaO,Na2O,K2O,,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
AGV2,97.44,59.3,1.05,16.91,6.02,1.79,5.2,4.19,2.88,97.34,0.150141615,-0.405204092,-1.284412853,-0.68907594,0.001443461,0.075339788,-0.264338779,0.606772783,-1.089891725,0.517999679,-0.027464461,-0.040558611,0.365587248,0.549435697,-0.159875596,0.334793974,-0.617690386,0.149461512,-0.174901863,0.700359073,-0.045895846,-0.684135712,0.173967695,0.273599484,0.943675002
AGV2,97.44,59.3,1.05,16.91,6.02,1.79,5.2,4.19,2.88,97.34,0.180224728,-0.443452925,-1.237537424,-0.619856298,-0.016452161,-0.072632818,-0.271246096,0.632923043,-1.133218445,0.62825874,0.046659467,-0.195860296,0.481260727,0.570015794,-0.109488805,0.387525407,-0.799804909,0.222359732,-0.19364841,0.456712355,-0.256838465,-1.209532952,0.307851132,-0.112940531,0.937264189
AGV2,97.44,59.3,1.05,16.91,6.02,1.79,5.2,4.19,2.88,97.34,0.19353808,-0.387773966,-1.367633793,-0.520758456,0.031414053,-0.03042042,-0.491116783,0.535342523,-1.140765811,0.460671839,0.018062816,-0.135604956,0.402633779,0.600277899,-0.090360432,0.410279176,-0.560612941,0.096777051,-0.115417277,0.655140351,0.055688631,-0.754079426,0.413299168,0.149886184,0.553309769
AGV2,97.44,59.3,1.05,16.91,6.02,1.79,5.2,4.19,2.88,97.34,0.201959432,-0.404601092,-1.373033909,-0.538409281,0.009244614,-0.050292476,-0.520516067,0.626298843,-1.158864357,0.425506259,-0.02890338,-0.189927652,0.378865935,0.57744155,-0.215293008,0.493124408,-0.551238161,0.259391565,-0.050095113,0.647773921,0.156174143,-0.736295157,0.37690199,0.258430659,0.547377168
AGV2,97.44,59.3,1.05,16.91,6.02,1.79,5.2,4.19,2.88,97.34,0.186288983,-0.427822876,-1.360973148,-0.591803761,-0.071906705,0.101733296,-0.290413331,0.387382987,-1.198185709,0.390820151,0.005991126,-0.147302861,0.439647917,0.565861973,-0.084369295,0.340977015,-0.429803367,0.063158953,-0.089321971,0.773432159,0.189060647,-0.60381282,0.19227572,0.391918999,0.377954139
BCR-2,98.14,54.1,2.26,13.5,12.42,3.59,7.12,3.16,1.79,97.94,0.478409554,-0.367676597,-0.725134498,-0.904760596,-0.384239387,-0.347681418,0.543987445,-0.483523625,-1.048387383,0.358706714,-0.122765991,-0.845219813,0.05395101,-0.234355745,-0.641999046,-0.444006728,-0.274949476,-1.216799649,-0.704491473,-0.626805797,0.486261378,0.210411177,-0.232306098,-0.111712428,1.313588285
BCR-2,98.14,54.1,2.26,13.5,12.42,3.59,7.12,3.16,1.79,97.94,0.3619497,-0.39126869,-0.91016298,-0.762319556,-0.308696727,-0.569394873,-0.041644107,0.172031915,-1.380298743,0.408729974,-0.042509202,-0.889769063,0.613753839,0.270146805,-0.530831212,-0.0691127,-0.879500478,-0.000792335,-0.319148072,-0.08908234,0.203479951,-0.576663014,0.266589908,-0.029581658,1.347724977
BCR-2,98.14,54.1,2.26,13.5,12.42,3.59,7.12,3.16,1.79,97.94,0.326414641,-0.416272613,-0.393565304,-0.969156012,-0.370225852,-0.502402425,0.831305792,-0.298330393,-1.177635526,0.378715743,0.000415449,-1.309693815,0.41265595,-0.401892814,-0.885684599,-0.236544851,-0.524447947,-0.787506006,-1.094160877,-0.72773345,0.436652038,-0.002052406,-0.311384124,-0.375298791,1.198383108
BCR-2,98.14,54.1,2.26,13.5,12.42,3.59,7.12,3.16,1.79,97.94,0.247152364,-0.487437626,-0.668731886,-0.783006403,-0.243025544,-0.743305599,0.116729242,0.440426985,-1.124246884,0.228584943,0.068300492,-1.282625803,0.561210356,-0.059720858,-0.707669001,-0.132382408,-0.544515123,0.24820705,-0.446146563,0.274210609,0.395108088,-0.292957361,0.19818942,0.264464456,1.248204256
BCR-2,98.14,54.1,2.26,13.5,12.42,3.59,7.12,3.16,1.79,97.94,0.402326668,-0.343702841,-0.768327125,-0.789582347,-0.299758645,-0.228896879,0.381217057,-0.323430305,-0.860154123,0.680666006,-0.262053313,-0.701974275,0.163929656,-0.067160501,-0.626376133,-0.261045302,-0.512381565,-0.592315233,-0.980827784,-0.644515843,0.465660771,0.238576793,-0.074025516,-0.069567717,1.223767805
