x,y,z
-14.483133,-8.382969,40.40245
1.7956951,-1.2076405,25.176147
-8.654659,-9.21157,26.460932
-4.9601665,-6.78782,19.025581
12.218196,6.475602,37.229946
1.6983458,3.2596262,7.7395134
-7.599258,-1.8443135,32.31854
6.332013,7.456259,22.568884
4.2047033,1.2653044,26.58234
-2.9269226,-2.4607403,21.511417
-1.4478526,-3.9940372,23.30447
5.1204777,7.4636445,17.941227
8.802634,6.4418864,30.170996
-10.248381,-12.81126,25.831694
4.5867505,5.2294655,21.172539
-9.58403,-9.162944,28.891472
-7.726314,-8.293971,25.278505
4.630728,7.536354,14.962422
8.162682,8.852548,25.652742
-13.699429,-14.986142,32.56158
-9.853456,-11.757954,26.200129
-10.790741,-5.0149293,35.586765
-3.8698301,-1.6719613,25.324963
-8.19149,-8.719869,25.920073
1.2306355,2.1848707,16.132996
4.6126285,3.9087982,23.690062
-12.73439,-15.45415,29.405424
15.465412,11.584829,39.991432
6.8735857,7.3176827,24.406013
10.263835,12.554057,26.243876
-2.2141895,1.2487352,26.04186
-4.9913316,-6.204323,20.529194
-9.613016,-9.460242,28.59761
-2.3770514,-2.1586177,20.321573
-9.893441,-9.097253,29.719482
8.291717,9.627345,24.8689
4.279492,6.816137,16.501028
5.954612,2.1401856,28.985985
14.07504,17.417068,30.76644
-7.906005,-9.056973,24.624163
1.9514158,3.3448255,13.582475
-8.269604,-9.795216,24.53693
-7.955358,-2.2514093,32.591717
-6.3018274,-7.0573726,23.185072
2.673017,5.314489,6.0899963
-9.537812,-14.87614,19.85721
-7.267611,-8.003135,24.450092
-2.7842534,-3.5167673,18.229816
12.461007,18.13949,24.802977
11.264262,6.1153007,35.590252
9.763837,3.3670063,34.963966
6.2651205,5.981147,24.79881
-6.154906,-9.970337,16.339895
0.25401744,1.417449,19.982954
-5.6815863,-9.848496,13.575986
-8.912886,-8.387531,28.19012
4.4752855,1.687183,26.596296
-6.2749205,-10.1893835,16.31325
-11.302952,-1.9203398,38.84962
-7.438109,-10.559536,21.023664
-1.1462324,-2.121409,9.614916
-3.7204716,-6.2212853,14.413216
-9.014341,-9.453464,27.076756
7.370967,11.227578,18.645458
-1.5156828,-2.7380552,10.315718
10.033466,8.738997,30.450981
5.555433,10.210229,10.991525
-2.0761852,-3.6777039,11.18529
13.039858,8.537103,37.2275
9.262943,9.261597,27.963722
-2.6073272,1.3062875,26.826403
-11.245923,-9.761328,32.16388
-12.6424055,-18.756441,24.454813
12.5652075,1.5771708,41.35788
1.9475265,3.379641,11.824715
-12.979595,-13.132332,32.735317
8.966848,9.236278,27.240496
6.1253595,3.2338512,28.095179
5.3198214,9.099686,13.745725
0.74667114,2.0842502,20.07438
-5.202663,-5.579461,22.470661
6.291961,4.8243957,26.490564
12.866345,18.997093,24.8556
7.1754837,7.684001,24.67558
-5.4289827,-10.51835,8.373828
11.447579,14.685779,26.702484
-9.663276,-10.036448,27.998547
1.3898262,2.5844202,18.178139
-14.536807,-19.590057,29.391691
-7.820611,-2.979192,31.671164
-10.037107,-10.408195,28.490881
-0.3663318,-0.9579628,16.86845
13.692903,7.389175,39.493168
-2.409293,-2.0280774,20.766535
-1.5832018,-2.0665977,16.55321
-5.919071,-3.3338768,27.54651
-5.0140357,-8.281872,14.733155
-4.2924433,-5.864015,18.504147
-7.176212,-10.0363655,20.488705
7.611295,8.694823,24.358541
-9.826269,-13.199529,23.922144
-9.90297,-6.262409,32.688057
4.9235587,7.8851194,16.326815
1.821543,3.226451,11.781662
-6.163099,-6.6465616,23.469454
-12.410085,-5.99563,37.974747
-7.476553,-8.017802,25.005707
13.196425,18.510695,26.681442
-13.630504,-18.381723,28.234188
-3.606496,-0.10697799,26.883707
-2.6228228,-3.3055356,18.074085
-8.544787,-9.884583,25.196342
4.5378194,-5.3529286,33.520405
-9.182648,-8.628965,28.554678
3.9834514,6.5711155,14.225174
-14.60502,-13.465148,36.3727
4.0175343,7.8705354,7.251245
0.46613201,0.09757752,17.868826
-2.5407078,-4.3261323,13.656989
8.839185,12.947865,21.1243
-8.838082,-9.324427,26.789188
9.016491,8.48692,28.321604
2.5701044,5.7258496,24.76766
-6.395927,-7.27823,23.091705
9.05684,9.090514,27.66081
8.694786,9.380387,26.33362
4.4543834,0.78221065,27.674263
-6.084607,-11.315984,10.71079
-4.8286324,-3.4135592,25.00598
-14.907831,-9.758256,40.22699
0.15554696,0.33412233,12.7671795
5.4463696,9.149447,14.433862
10.215233,11.34857,27.750813
2.4920487,2.574414,19.679474
5.260845,4.8620667,23.871706
-1.1303324,4.050565,27.810305
1.9403986,3.2574592,16.004942
1.3425866,2.3277295,15.196126
-7.359617,-8.235502,24.33843
10.039135,14.818609,21.854074
6.138266,-1.1764444,32.48332
-9.324724,-9.256992,28.129229
2.774064,2.5416136,20.829569
13.018998,1.0761914,42.482094
4.683686,5.722147,20.469099
2.6164472,-2.1269195,27.831324
-1.1253592,3.983381,27.726921
-11.219314,-17.595306,21.207876
8.921759,9.371149,26.941072
1.015472,1.8139296,15.171532
9.793825,9.560465,28.92718
10.057619,10.323203,28.645536
-2.2988043,-3.944796,19.506062
-7.6009417,-13.055331,14.992644
7.6830425,9.201855,23.762667
-7.6752224,-6.5909,27.452106
9.105256,1.5393977,35.240253
-8.76941,-4.9382052,31.641914
-9.059755,-9.243001,27.469406
0.015133071,0.026997803,7.780169
-0.45666048,-4.9804955,26.756317
10.131287,4.362865,34.8399
4.2241697,1.8349762,25.867954
9.539459,11.876651,25.098486
6.328017,3.5812364,28.112099
-4.636295,-3.9444258,23.694784
4.9040475,3.803992,24.604933
