x,y,z
5.410062,9.24835,14.00673
-5.920404,-11.189126,9.854968
-8.018607,-8.403111,25.903059
-4.2099,-2.3319247,25.138489
4.0904717,7.1787696,12.235797
-0.016385576,-5.2452674,27.681704
-11.057125,-16.826881,21.994648
6.1521153,4.8762116,26.089092
14.084477,13.630362,34.934162
-9.739587,-3.031801,35.211372
-9.647481,-3.8225257,34.36846
3.4306147,1.9958693,23.795298
10.768746,10.947897,29.686892
-6.34484,-8.365589,20.866974
6.016477,2.72226,28.464895
-9.203636,-10.265269,26.481617
-7.5704017,-7.122988,26.50711
1.6350979,0.03432813,22.685791
7.664401,7.6590524,26.014166
-3.5092204,-5.7363806,14.243722
-7.047789,-8.787634,22.462692
-7.9799414,-13.115482,16.817722
-13.242036,-9.852024,36.533012
-7.83877,-7.785704,26.289906
8.518867,-0.5738692,35.843723
8.577383,4.0587077,32.105686
-4.3491282,-6.7673244,15.97354
-5.4105515,-9.119222,14.5548725
7.270467,5.994542,27.253046
6.6462646,8.681525,21.307535
4.7970586,9.141105,8.956913
-5.2443485,-2.8935006,26.661318
-8.976842,-10.116486,26.069607
-9.996459,-2.5339901,36.063614
-9.540689,-10.942538,26.469322
7.0748425,7.4593954,24.738031
2.7365923,0.7586183,24.145538
13.331054,13.618554,33.099
0.5420562,0.8094818,13.4184065
-7.051271,-7.0440793,25.293022
3.4016101,-2.4888728,29.454449
-6.852512,-7.288209,24.3863
-11.241001,-16.732069,22.841051
-6.600063,-5.047802,26.912888
-2.6830618,-5.754598,24.624346
-1.7659875,-2.2208552,17.140182
-7.1519227,-6.40167,26.440422
-5.8062005,-0.11639795,30.780684
0.2520429,0.22775394,14.714621
8.248411,13.27141,17.726274
7.972885,13.344658,16.178745
7.9087496,5.5677323,29.198288
-1.9161065,-1.3538375,20.630194
15.78163,14.264368,38.421238
-0.12737747,1.0004804,20.28079
-9.130297,-9.40705,27.440517
13.492887,11.51246,35.57722
-1.8263477,-1.3040931,20.427153
7.3197093,12.393166,15.381084
-4.6722345,-5.0228515,21.868452
-3.7736716,4.824501,32.10667
-1.701155,0.7111559,24.194935
-8.274486,-8.952867,25.807781
3.0196025,3.197135,20.14488
-2.4428782,4.302634,29.881788
9.911986,11.521378,26.699467
-1.7186366,-3.3444006,20.2381
-1.4649291,3.457688,27.601803
3.8141663,6.6240983,12.500609
8.763953,9.5576315,26.27567
4.394165,8.371999,8.815197
-9.49953,-12.71131,23.66445
0.74057645,1.3625873,14.722762
-10.8940735,-15.104473,24.410826
2.214229,-3.3034728,28.534336
-6.071097,-9.535867,16.848957
8.416574,8.993806,26.131952
11.959687,9.687771,33.834545
0.4905218,-0.7233501,20.886158
12.8623495,5.7321424,39.07885
-6.6513934,-3.7289994,28.610334
9.593091,6.715751,31.599064
-1.0679997,-1.8838958,14.668979
7.346029,6.380309,26.93665
3.567981,5.6291947,21.095959
5.1723046,7.5188346,18.04498
-8.519447,-9.817679,25.22497
8.752356,0.564774,35.391056
2.6444693,4.4412827,14.353899
-12.538322,-15.70903,28.523548
-8.566815,-10.247892,24.71223
-16.482779,-14.790667,39.645184
-2.9241738,-5.199012,11.63082
-10.637955,-3.3020072,36.644333
-8.428196,0.39237005,35.56366
-11.56901,-8.737114,33.881287
-1.3296987,-0.024326693,21.82887
-4.1761994,-1.5288721,26.181759
-4.4815803,-4.578383,22.1277
6.972286,6.7003655,25.578695
-5.254802,-6.9331565,19.875217
-11.235003,-14.020302,27.016077
2.3847232,1.0396805,22.768059
2.4545598,-3.3993711,28.988522
-6.8707933,-4.9928575,27.590544
-1.4664428,-2.6227493,10.664403
-7.470944,-6.789709,26.704733
-0.13468747,-0.3617439,14.220384
0.12101062,0.32171533,13.900447
-12.622383,-19.138199,23.773546
-6.025089,0.028868033,31.285093
-7.189851,-7.7736917,24.574924
-12.147264,-11.442658,32.5245
-9.233912,-9.807947,27.1819
1.4753244,-0.6791493,23.620655
-0.48955587,-0.80413395,12.025747
-3.1631138,-5.4516764,22.496456
10.656659,19.235363,15.222733
-2.2849684,1.9503955,27.077175
3.8612812,4.8606706,19.295767
-8.163328,-8.692745,25.879639
9.167488,9.558304,27.337868
8.257132,4.424247,31.128485
-6.4978676,-5.10897,26.597744
8.669941,9.261125,26.433615
7.913995,8.382927,25.64979
13.943035,17.394451,30.427172
2.3926692,4.110823,19.885027
-9.975676,-5.481084,33.56112
5.133404,8.76817,13.925412
15.096841,23.792227,25.400429
0.9134238,-0.1738693,20.937649
7.893992,9.838827,23.31683
8.472515,1.2979795,34.32231
7.9043756,4.3924184,30.44739
13.014424,10.431227,35.496166
5.1790967,-1.3193574,31.097498
7.1348577,-1.5886457,34.384735
-7.0416265,-6.455282,26.100702
2.9921496,4.0822463,17.44056
-4.8594775,-8.9435,10.647016
-8.83812,-9.68043,26.306225
9.165267,2.2830062,34.75696
-11.250882,-14.065768,27.069063
5.3753304,2.5751874,27.334286
-11.764284,-18.653044,21.400124
13.096397,10.579106,35.545246
0.30884466,0.7341562,15.566751
8.234506,8.831526,25.873926
9.548665,-0.40686277,37.449734
9.071855,10.401909,25.926285
8.671401,10.351413,24.859144
-6.530096,-0.82289755,31.363615
0.30384943,1.0765213,18.206728
6.541246,6.5349903,24.691425
-9.295138,-8.04975,29.49653
2.482085,4.5633187,9.864019
-11.893616,-13.453197,29.582619
-8.532751,-9.1732645,26.190737
2.6136475,5.506249,2.6315665
-10.692329,-6.4447002,34.144684
9.248034,14.643904,19.063646
13.062665,9.8656845,36.130753
6.4868627,8.041726,21.993893
11.599935,9.249854,33.446533
-8.54414,-4.0637107,32.034115
9.264544,4.904578,32.662083
6.1297126,8.723861,19.237886
2.2691982,2.440198,19.088282
-9.828001,-15.487621,19.773298
6.2606,11.114296,12.878009
6.6949778,4.887869,27.325762
-8.444978,-7.1675014,28.549135
5.674936,10.160551,12.225198
-4.247582,-5.352966,19.63919
-6.67284,-1.300322,31.171665
3.1349733,0.7298651,25.086418
5.5553412,9.116213,15.244858
10.484128,6.127033,34.005566
-7.958597,-8.382992,25.772999
-13.952823,-16.74437,31.240538
-12.95814,-2.7091923,41.354816
1.739878,2.9029257,12.840248
13.317676,12.322146,34.395164
-2.8620238,-0.9041556,24.20334
-2.5993714,3.6236312,29.431467
7.07657,6.6379557,25.93376
-10.748367,-1.0700483,38.466858
-9.24612,-1.9889641,35.13029
-1.496302,-2.8679776,7.841448
6.4807773,10.1359215,17.686491
9.15571,4.841058,32.519047
-9.458419,-10.389223,27.004808
-7.7253733,-8.100918,25.54943
4.584042,4.1755233,23.160868
-8.316218,-5.126934,30.535633
-6.122197,-4.6423635,26.333525
10.952464,4.064753,36.65797
-11.88341,-9.393936,33.943413
-9.767771,-7.2936068,31.374697
-5.1108503,-5.839507,21.688925
-6.8556657,-12.493358,12.060757
6.3108788,10.971078,13.690733
10.571632,11.824849,28.097376
-3.918809,-7.4245677,8.912978
5.5600142,2.942736,27.2721
-7.993379,-8.426321,25.805084
4.788768,5.7107944,20.85639
-3.2677135,-4.322418,18.111958
10.669074,17.217764,19.72784
13.4123955,11.65252,35.267612
12.879238,6.853724,38.266834
-3.8807197,-5.94828,16.032045
9.482998,10.092535,27.462189
10.210613,6.0943947,33.476013
-7.6600947,-8.719505,24.442219
10.8594055,14.581764,25.05417
7.7899675,9.051584,24.298859
2.3236017,2.6129234,18.816523
4.487144,7.453562,14.813789
5.7152786,0.8402157,29.910927
5.523658,5.699604,23.209835
-14.116331,-18.07599,30.087393
13.309548,8.667078,37.668724
-1.500271,-0.0753472,22.222504
3.3270314,-6.9478865,33.225544
-7.034264,-7.4000387,24.716677
-2.4451115,-4.177686,13.507688
7.779944,2.3509355,32.185528
-10.973969,-11.095994,30.073088
6.503851,8.371697,21.419346
-12.689486,-16.466604,27.984411
-1.390781,2.836902,26.713657
9.624274,10.865566,26.8053
15.039229,10.129805,40.19025
-8.828406,-11.225782,23.950205
6.2959046,7.4692664,22.431086
-7.7899823,-3.441732,31.176115
1.7388057,0.21238056,22.61223
7.814133,8.1650095,25.694078
2.959491,5.0218024,21.473852
-0.016754504,0.12729917,14.401061
-5.797585,-1.6193337,29.250696
-8.450857,-9.98745,24.772287
-3.4354222,0.6590892,27.512417
12.395551,17.58188,25.446857
10.596988,11.810456,28.183125
12.199087,5.0458274,38.27453
-10.277647,-6.0038924,33.68767
4.170805,4.8424697,20.545832
-0.4157256,2.7458434,24.867086
7.740531,0.96938115,33.325127
-7.7346916,-7.780575,26.030926
0.070426375,-0.19731465,16.048935
-8.162927,-10.561597,22.951797
-11.8762245,-7.9261494,35.283382
-7.9718866,-7.239158,27.341188
11.049094,7.7047925,33.736393
-6.565892,-8.018333,22.297245
-7.7347617,-5.977468,28.338436
-4.778481,-0.46610308,28.626804
1.354119,2.5659938,8.301799
-4.7015805,-0.9985998,27.885021
4.3663826,7.9951034,10.63745
2.3188365,3.910957,18.93127
-7.1017666,-6.7743444,25.804628
-5.3222313,-5.966239,22.124336
0.869389,1.6172324,15.80728
-7.4473157,0.958662,34.411892
-2.532124,-4.2164807,13.272297
4.126755,4.8083377,20.461342
0.37129682,0.70661056,8.292291
-5.578852,-9.294654,14.77679
-4.2243123,-3.9325986,22.564962
11.266143,15.531735,24.943476
-4.607146,-2.0066693,26.454393
-8.074676,-8.5023,25.910212
0.5216916,1.0043509,7.5909142
7.1236596,6.776987,25.856783
12.401791,10.881052,33.683746
10.777381,16.44183,21.64012
-6.3687673,-9.252019,20.000803
4.69573,7.5476384,16.149467
-0.16456401,-0.2580126,11.411001
-8.802187,-6.8161025,29.762547
13.683715,10.444369,36.973946
6.2143497,7.651296,21.82944
-7.202261,-4.693133,28.66702
-3.4390721,-6.889306,5.856778
-3.8493028,-3.3210728,22.602161
-0.8163196,-1.4606627,12.18228
8.162461,9.075666,25.322182
-9.185715,-1.7445649,35.227352
-4.263145,-6.7422814,16.819864
12.527858,4.661505,39.19896
9.85085,17.258532,15.853955
9.920765,4.364851,34.42872
10.583656,6.1981616,34.14299
5.235143,4.131072,24.937733
10.508976,15.922556,21.580402
1.8320098,-0.33597675,23.85664
-1.5240281,-2.9129722,7.923958
-9.15577,-11.257039,24.904476
-9.100032,-9.294332,27.508736
13.790645,14.699276,33.10753
2.0060556,0.0032629864,23.683308
4.963137,7.3688936,19.457514
2.3536072,4.7713575,4.9261384
2.7505882,4.564636,14.971369
-7.0452185,-7.1463494,25.126808
4.5494146,4.1798644,23.055122
-5.1768546,-1.6195192,28.07291
-6.882156,-9.657652,21.144049
3.3717203,5.3400197,17.423674
-7.8209887,-7.4158463,26.740694
7.960452,9.669834,23.813118
9.236703,3.8144922,33.58949
4.2498693,6.7032723,15.582698
-9.762542,-5.134039,33.451973
-9.9663515,-14.110798,22.862774
11.357247,4.321353,37.21827
-9.446364,-16.207928,16.375063
1.8232304,3.1361365,13.472865
-5.429275,-6.6971703,21.040184
-5.200953,-3.0002213,26.430029
14.884055,21.754526,27.615108
6.042029,7.1772323,22.155672
8.002538,15.083532,11.160778
9.103031,10.798017,25.443407
-0.7338182,0.50442415,21.171669
-5.3328857,-6.308959,21.496378
4.5518756,-2.5965981,31.289335
6.1854887,2.5128577,29.02848
8.682012,13.315744,19.677645
8.270651,8.887748,25.88872
-10.117859,-5.1223555,34.163734
4.9862213,4.44655,23.808275
-12.049535,-18.924591,22.019966
15.256768,15.49109,35.99225
-0.10213069,-3.30316,24.797403
-12.35516,-11.796328,32.635387
-4.753329,-1.5866079,27.28307
7.130065,7.645159,24.60622
-11.800302,-15.6942625,26.342005
-5.2996173,3.3198383,32.982258
-8.189278,-8.722705,25.905327
-11.32688,-19.017069,18.885803
13.960045,15.659271,32.49434
4.33145,1.6077569,26.4004
-13.905378,-10.232965,37.63331
7.5311394,1.4903367,32.511604
-7.5476036,-6.820624,26.849644
6.6043005,5.682596,26.079742
-11.147027,-11.994459,29.397398
5.1381564,9.314193,11.394267
-14.828925,-14.433179,35.967865
8.244891,7.659465,27.468262
7.9355063,12.97488,16.959532
12.774976,15.285429,29.735739
-10.515225,-8.821525,31.447622
-3.776199,-4.4669404,19.942661
-3.3855646,-4.102509,19.286396
-1.1121094,-1.9200974,11.6097555
7.4672694,4.9286294,28.968857
0.5351786,0.9387804,10.75175
-0.8500347,-1.7575142,17.618328
-12.880416,-9.739908,35.834503
-12.5797825,-11.363966,33.608067
-8.711707,-9.526375,26.178759
8.990838,1.221115,35.293697
-7.841276,-3.9953265,30.725914
-7.8233223,-8.282212,25.55331
-4.134224,-2.7852035,24.272131
0.9827605,-0.021872109,20.790524
-11.382478,-19.769033,17.569633
13.33138,9.429251,37.073353
1.8289106,1.1701269,20.776201
13.032149,17.210371,28.0017
-4.0193305,-5.709005,17.626017
-3.0119827,5.142633,31.395378
-8.488227,-15.06541,14.255298
9.470716,8.302655,29.61715
16.785803,13.354419,41.533295
-6.6498814,-10.069346,18.798857
5.5258565,4.160325,25.597054
-3.0708811,-5.4550605,22.850227
5.8633,7.37598,21.172098
8.980447,7.499423,29.400354
-9.032018,-9.673831,26.830647
1.1326425,-0.31520697,21.991663
7.189137,9.694502,21.230656
5.8854384,10.114938,14.010923
-9.099042,-1.529966,35.239746
-3.2290664,-5.156787,14.697048
-9.365496,-9.847231,27.477144
-7.646338,-9.463169,23.190104
8.5501175,9.118266,26.314297
-6.5513005,-7.0459495,23.92113
5.81536,7.2550583,21.249187
0.1333595,-0.33390743,17.587484
13.126906,8.487744,37.44045
3.732515,3.6943781,21.5161
-1.0892433,-1.7319608,13.39597
-3.0228171,-4.566222,15.782462
12.797895,3.768387,40.329407
3.6726692,2.6595573,23.296516
-7.115871,-7.0935745,25.387327
-8.232158,-8.83016,25.866663
-14.783523,-13.974627,36.30071
-14.451381,-20.340014,28.152845
-6.6056676,-5.730622,26.021755
7.9971166,8.357267,25.911137
-7.461464,-8.831768,23.678186
1.8569454,3.3653672,19.373295
17.265726,21.373604,35.31755
-14.334466,-10.301243,38.513935
-9.346254,-9.634098,27.700527
8.391875,4.3248987,31.491037
12.624943,12.773028,32.243313
-7.7765903,-5.3150096,29.190996
-9.803283,-8.152122,30.558435
7.655683,6.461519,27.567986
-4.8983917,-8.133075,14.944312
11.827589,8.087331,35.047306
-7.1954093,-9.3864355,21.847637
5.241138,9.095949,13.1771145
1.2675962,2.2076762,13.578843
-12.050179,-19.382042,21.194864
-4.7488127,-6.6306095,18.494366
-2.5926325,-1.3676904,22.715014
-12.779204,-12.595764,32.817127
15.658576,10.774312,41.03967
-12.297251,-20.41377,20.286533
5.8351994,3.2829041,27.430582
-11.09056,-11.410119,29.953962
-11.526348,-16.648008,23.986528
-6.5895567,-3.5260084,28.71179
10.766645,15.567995,23.147161
-0.97363025,-1.3128711,15.3360615
0.8092421,1.487032,15.105593
5.3050933,9.285592,12.889647
-7.983689,-8.428931,25.774801
7.5137134,7.582813,25.736265
0.41394505,0.60909754,13.201611
-3.5634649,-0.46932235,26.33649
-4.10862,-7.1086154,12.758021
-2.9239433,1.3006585,27.378683
-12.369671,-14.003219,30.182673
-2.2083738,-4.459412,5.12663
4.3290734,7.4093175,13.231488
0.33086875,2.9669123,23.726377
-0.4273444,-0.9851383,16.306335
0.9405878,1.2630188,15.314751
8.999937,8.512994,28.246138
-5.8640075,-9.226517,16.661486
-10.130553,-15.858743,20.25567
-8.802762,-11.267671,23.808725
7.1773267,7.5223885,24.92336
-14.778309,-11.82901,38.21549
-2.594734,-5.094629,23.15505
-8.738192,-9.35764,26.483139
-8.689,-7.9834037,28.14272
-2.360435,-3.905075,17.976357
8.049536,9.105558,24.959305
7.140304,2.6530614,30.711187
-1.3269215,-2.313444,13.21482
8.8652315,10.288437,25.510075
8.145603,9.55849,24.545132
16.22696,15.551297,38.33981
9.629774,11.635497,25.733421
-2.3814435,-3.026293,17.744337
-16.508326,-12.183707,41.83959
4.5677433,6.58758,17.754673
-8.580157,-1.5299917,34.320797
12.276575,4.978741,38.481907
-8.105792,-8.563166,25.908297
2.0123305,3.3995152,14.57692
-3.7203708,-5.3656983,17.131798
9.62239,-0.31986204,37.497547
-14.012129,-15.574964,32.733852
-6.1318436,-7.1339283,22.521048
-7.6087685,-7.39354,26.237291
-3.078578,-5.0029497,20.439384
-16.328108,-6.8548303,45.241425
7.6861663,11.780562,18.724796
2.6462293,-4.5456414,30.390745
1.627449,2.7744234,15.309939
-3.0676563,-5.535834,10.985212
-2.1243196,-3.7865527,11.4482565
0.26796916,5.7783003,28.014202
-9.180741,-4.5047646,32.87443
3.1137137,2.591632,21.826557
-9.699533,-17.163681,15.308652
-1.4080188,1.2700331,24.475594
5.0800476,8.199277,16.070639
-5.8460293,1.0813289,31.93738
-5.766569,-7.4332447,20.706482
-8.993991,-9.961803,26.33636
-4.158192,0.61108696,28.709236
8.657611,10.981169,23.823803
9.390499,10.693091,26.40284
1.6280696,-3.461936,27.84866
-6.6867046,-7.3945403,23.745378
3.2110324,5.832735,10.572567
-7.2522483,-7.5683393,25.056623
13.171996,11.483692,34.870667
5.846333,7.853131,20.093035
-11.51088,-15.541682,25.708025
-5.207903,-2.1404967,27.523012
3.5003865,6.2306333,11.694032
8.359781,8.965095,26.019972
10.051994,7.340283,31.950325
-7.0361414,-5.419432,27.435595
3.1185956,4.9523015,18.275629
-14.599889,-13.260087,36.5267
3.9645312,3.6527684,22.31947
8.464166,4.469125,31.489882
6.390613,4.1964808,27.506609
-7.7017784,-7.0729866,26.89622
6.6660185,1.8384968,30.631939
7.2088575,9.044986,22.522837
5.847876,3.408184,27.304113
11.054655,9.776995,31.678406
2.5625167,4.592409,11.21798
-7.955299,-8.522375,25.5623
8.255694,13.867093,16.304623
8.470426,13.028924,19.27373
15.754561,12.894259,39.538284
-8.565861,-5.8479543,30.298767
-2.0191488,-1.7544707,19.978342
11.748328,14.831244,27.401953
12.3440895,11.629812,32.780766
8.7309,9.314719,26.523932
-4.158032,-1.9910359,25.508745
-7.0763087,-11.741998,15.849436
7.648879,6.983483,26.88403
-4.5421505,-2.469483,25.692005
4.73371,1.7970647,26.98469
-0.369979,3.1425643,25.411375
2.537044,4.2977476,12.789037
11.026353,6.4110894,34.861053
-3.1395862,-5.0353193,20.002337
3.39125,5.3154984,19.20472
9.283807,5.2072277,32.42383
-6.858797,-2.5336123,30.299051
-4.8823137,-8.87036,11.239833
6.2703695,8.152477,21.035244
9.22267,14.7803755,18.653826
-11.47474,-4.7992487,37.078743
-8.4912195,-3.5826046,32.38745
-1.3744441,-2.077956,14.5087185
7.9937534,4.975609,30.023249
12.482095,12.26175,32.440266
9.828325,6.4065795,32.39868
8.173826,7.526681,27.463917
6.6031575,5.3958893,26.463507
-11.624706,-8.254576,34.452282
-10.996308,-18.246525,19.023975
1.0342984,3.0842674,22.152191
-8.829034,-3.942615,32.699604
-7.040736,-6.4574704,26.090303
-2.0406811,-3.6528444,11.243365
-4.608749,1.5192938,30.380768
9.9085655,18.345518,13.405825
